id,imagery,day,drink,rating
1,positive,1,beer,1
1,positive,2,beer,38
1,positive,3,beer,10
1,positive,1,wine,6
1,positive,2,wine,-5
1,positive,3,wine,-14
2,positive,1,beer,43
2,positive,2,beer,20
2,positive,3,beer,9
2,positive,1,wine,30
2,positive,2,wine,-12
2,positive,3,wine,-10
3,positive,1,beer,15
3,positive,2,beer,20
3,positive,3,beer,6
3,positive,1,wine,15
3,positive,2,wine,-15
3,positive,3,wine,-16
4,positive,1,beer,40
4,positive,2,beer,28
4,positive,3,beer,20
4,positive,1,wine,30
4,positive,2,wine,-4
4,positive,3,wine,-10
5,positive,1,beer,8
5,positive,2,beer,11
5,positive,3,beer,27
5,positive,1,wine,12
5,positive,2,wine,-2
5,positive,3,wine,5
6,positive,1,beer,17
6,positive,2,beer,17
6,positive,3,beer,9
6,positive,1,wine,17
6,positive,2,wine,-6
6,positive,3,wine,-6
7,positive,1,beer,30
7,positive,2,beer,15
7,positive,3,beer,19
7,positive,1,wine,21
7,positive,2,wine,-2
7,positive,3,wine,-20
8,positive,1,beer,34
8,positive,2,beer,27
8,positive,3,beer,12
8,positive,1,wine,23
8,positive,2,wine,-7
8,positive,3,wine,-12
9,positive,1,beer,34
9,positive,2,beer,24
9,positive,3,beer,12
9,positive,1,wine,20
9,positive,2,wine,-10
9,positive,3,wine,-9
10,positive,1,beer,26
10,positive,2,beer,23
10,positive,3,beer,21
10,positive,1,wine,27
10,positive,2,wine,-15
10,positive,3,wine,-6
11,negative,1,beer,1
11,negative,2,beer,28
11,negative,3,beer,33
11,negative,1,wine,-19
11,negative,2,wine,-13
11,negative,3,wine,-2
12,negative,1,beer,7
12,negative,2,beer,26
12,negative,3,beer,23
12,negative,1,wine,-18
12,negative,2,wine,-16
12,negative,3,wine,-17
13,negative,1,beer,22
13,negative,2,beer,34
13,negative,3,beer,21
13,negative,1,wine,-8
13,negative,2,wine,-23
13,negative,3,wine,-19
14,negative,1,beer,30
14,negative,2,beer,32
14,negative,3,beer,17
14,negative,1,wine,-6
14,negative,2,wine,-22
14,negative,3,wine,-11
15,negative,1,beer,40
15,negative,2,beer,24
15,negative,3,beer,15
15,negative,1,wine,-6
15,negative,2,wine,-9
15,negative,3,wine,-10
16,negative,1,beer,15
16,negative,2,beer,29
16,negative,3,beer,13
16,negative,1,wine,-9
16,negative,2,wine,-18
16,negative,3,wine,-17
17,negative,1,beer,20
17,negative,2,beer,30
17,negative,3,beer,16
17,negative,1,wine,-17
17,negative,2,wine,-17
17,negative,3,wine,-4
18,negative,1,beer,9
18,negative,2,beer,24
18,negative,3,beer,17
18,negative,1,wine,-12
18,negative,2,wine,-15
18,negative,3,wine,-4
19,negative,1,beer,14
19,negative,2,beer,34
19,negative,3,beer,19
19,negative,1,wine,-11
19,negative,2,wine,-14
19,negative,3,wine,-1
20,negative,1,beer,15
20,negative,2,beer,23
20,negative,3,beer,29
20,negative,1,wine,-6
20,negative,2,wine,-15
20,negative,3,wine,-1